customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,churned
8270-TOKHU,Female,0,No,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,45.28,2531.9,1
6734-ZSWKK,Female,1,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),106.89,2259.58,1
9322-VUBXL,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,56.54,2951.14,0
7949-BUALZ,Male,1,Yes,No,37,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.41,2689.32,1
7396-LYQJP,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),66.83,2694.79,1
1189-OSLWT,Female,1,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),117.31,2204.74,1
2528-CESGU,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,46.44,3265.06,1
6393-DYNRZ,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),90.12,1864.03,0
8513-UBTOG,Female,0,No,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,78.83,3554.42,1
1775-OCNQD,Male,0,No,No,56,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),81.19,4633.36,0
2585-HDBFV,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),100.26,1890.07,0
4843-VRZLB,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.02,1401.52,1
5297-DNPOH,Female,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,104.1,7419.31,1
8629-WYHUP,Female,1,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),28.54,903.74,0
8916-ROUXZ,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),85.8,1630.69,0
